route_id,service_id,trip_id,direction_id,block_id,shape_id,direction,wheelchair_accessible,schd_trip_id
1,67801,6780012019020,1,678000002729,67808085,North,1,12019020
1,67801,6780012375020,1,678000001881,67808085,North,1,12375020
1,67801,6780013476020,1,678000001885,67808085,North,1,13476020
1,67801,6780016577020,1,678000002730,67808085,North,1,16577020
1,67801,6780016720020,1,678000001888,67808085,North,1,16720020
1,67801,6780017300020,1,678000001885,67808085,North,1,17300020
1,67801,6780017488020,1,678000001881,67808085,North,1,17488020
1,67801,6780022190020,1,678000002729,67808085,North,1,22190020
1,67801,6780026387020,1,678000003631,67808085,North,1,26387020
1,67801,6780027851020,1,678000001891,67808085,North,1,27851020
1,67801,6780028216020,1,678000001890,67808085,North,1,28216020
1,67801,6780028999020,1,678000002730,67808085,North,1,28999020
1,67801,6780033400020,1,678000001888,67808085,North,1,33400020
1,67801,6780035223020,1,678000001883,67808085,North,1,35223020
1,67801,6780035386020,1,678000001884,67808085,North,1,35386020
1,67801,6780036103020,1,678000001889,67808085,North,1,36103020
1,67801,6780036350020,1,678000001888,67808085,North,1,36350020
1,67801,6780037622020,1,678000001882,67808085,North,1,37622020
1,67801,6780039989020,1,678000001882,67808085,North,1,39989020
1,67801,6780041782020,1,678000001887,67808085,North,1,41782020
1,67801,6780042666020,1,678000003631,67808085,North,1,42666020
1,67801,6780044031020,1,678000001891,67808085,North,1,44031020
1,67801,6780044579020,1,678000002730,67808085,North,1,44579020
1,67801,6780045825020,1,678000001884,67808085,North,1,45825020
1,67801,6780048093020,1,678000001882,67808085,North,1,48093020
1,67801,6780048262020,1,678000001883,67808085,North,1,48262020
1,67801,6780048585020,1,678000001889,67808085,North,1,48585020
100,67701,6770002756020,0,677000003097,67700701,West,1,2756020
100,67701,6770003159020,0,677000003514,67700701,West,1,3159020
100,67701,6770003719020,0,677000003869,67700702,West,1,3719020
100,67701,6770005158020,0,677000003875,67700700,West,1,5158020
100,67701,6770009749020,0,677000004220,67700701,West,1,9749020
100,67701,6770009995020,0,677000003097,67700701,West,1,9995020
100,67701,6770011002020,0,677000003514,67700701,West,1,11002020
100,67701,6770013362020,0,677000003875,67700701,West,1,13362020
100,67701,6770016692020,0,677000003873,67700701,West,1,16692020
100,67701,6770017073020,0,677000003305,67700700,West,1,17073020
100,67701,6770019366020,0,677000003514,67700701,West,1,19366020
100,67701,6770022685020,0,677000003097,67700701,West,1,22685020
100,67701,6770029171020,0,677000003873,67700701,West,1,29171020
100,67701,6770029300020,0,677000003869,67700701,West,1,29300020
100,67701,6770031221020,0,677000003869,67700700,West,1,31221020
100,67701,6770032088020,0,677000003869,67700701,West,1,32088020
100,67701,6770032100020,0,677000003873,67700701,West,1,32100020
100,67701,6770036513020,0,677000003863,67700701,West,1,36513020
